PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34337140","Robust chest CT image segmentation of COVID-19 lung infection based on limited data","Müller D, Soto-Rey I, Kramer F.","Inform Med Unlocked. 2021;25:100681. doi: 10.1016/j.imu.2021.100681. Epub 2021 Jul 27.","Müller D","Inform Med Unlocked","2021","2021/08/02","PMC8313817","","10.1016/j.imu.2021.100681"
"33483446","Research Evaluation Alongside Clinical Treatment in COVID-19 (REACT COVID-19): an observational and biobanking study","Burke H, Freeman A, Dushianthan A, Celinski M, Batchelor J, Phan H, Borca F, Kipps C, Thomas GJ, Faust SN, Sheard N, Williams S, Fitzpatrick P, Landers D, Wilkinson T.","BMJ Open. 2021 Jan 22;11(1):e043012. doi: 10.1136/bmjopen-2020-043012.","Burke H","BMJ Open","2021","2021/01/23","PMC7830323","","10.1136/bmjopen-2020-043012"
"21984588","Strategies for maintaining patient privacy in i2b2","Murphy SN, Gainer V, Mendis M, Churchill S, Kohane I.","J Am Med Inform Assoc. 2011 Dec;18 Suppl 1(Suppl 1):i103-8. doi: 10.1136/amiajnl-2011-000316. Epub 2011 Oct 7.","Murphy SN","J Am Med Inform Assoc","2011","2011/10/11","PMC3241166","","10.1136/amiajnl-2011-000316"
"23571849","A hybrid system for temporal information extraction from clinical text","Tang B, Wu Y, Jiang M, Chen Y, Denny JC, Xu H.","J Am Med Inform Assoc. 2013 Sep-Oct;20(5):828-35. doi: 10.1136/amiajnl-2013-001635. Epub 2013 Apr 9.","Tang B","J Am Med Inform Assoc","2013","2013/04/11","PMC3756274","","10.1136/amiajnl-2013-001635"
"31801642","Achieving Clostridioides difficile infection Health and Human Services 2020 goals: Using agile implementation to bring evidence to the bedside","Dbeibo L, Kelley K, Beeler C, Kara A, Monahan P, Perkins AJ, Wang Y, Brinkman A, Snyderman W, Hatfield N, Wrin J, Miller J, Webb D, Azar J.","Infect Control Hosp Epidemiol. 2020 Feb;41(2):237-239. doi: 10.1017/ice.2019.337.","Dbeibo L","Infect Control Hosp Epidemiol","2020","2019/12/06","","","10.1017/ice.2019.337"
"23605114","Combining rules and machine learning for extraction of temporal expressions and events from clinical narratives","Kovacevic A, Dehghan A, Filannino M, Keane JA, Nenadic G.","J Am Med Inform Assoc. 2013 Sep-Oct;20(5):859-66. doi: 10.1136/amiajnl-2013-001625. Epub 2013 Apr 20.","Kovacevic A","J Am Med Inform Assoc","2013","2013/04/23","PMC3756271","","10.1136/amiajnl-2013-001625"
"25150249","Inter-species pathway perturbation prediction via data-driven detection of functional homology","Hafemeister C, Romero R, Bilal E, Meyer P, Norel R, Rhrissorrakrai K, Bonneau R, Tarca AL.","Bioinformatics. 2015 Feb 15;31(4):501-8. doi: 10.1093/bioinformatics/btu570. Epub 2014 Aug 22.","Hafemeister C","Bioinformatics","2015","2014/08/24","PMC4325539","","10.1093/bioinformatics/btu570"
"23467472","An end-to-end system to identify temporal relation in discharge summaries: 2012 i2b2 challenge","Xu Y, Wang Y, Liu T, Tsujii J, Chang EI.","J Am Med Inform Assoc. 2013 Sep-Oct;20(5):849-58. doi: 10.1136/amiajnl-2012-001607. Epub 2013 Mar 6.","Xu Y","J Am Med Inform Assoc","2013","2013/03/08","PMC3756267","","10.1136/amiajnl-2012-001607"
"33627118","Elevated glucose level leads to rapid COVID-19 progression and high fatality","Wang W, Shen M, Tao Y, Fairley CK, Zhong Q, Li Z, Chen H, Ong JJ, Zhang D, Zhang K, Xing N, Guo H, Qin E, Guan X, Yang F, Zhang S, Zhang L, He K.","BMC Pulm Med. 2021 Feb 24;21(1):64. doi: 10.1186/s12890-021-01413-w.","Wang W","BMC Pulm Med","2021","2021/02/25","PMC7903375","","10.1186/s12890-021-01413-w"
"19697302","Ordinal response prediction using bootstrap aggregation, with application to a high-throughput methylation data set","Archer KJ, Mas VR.","Stat Med. 2009 Dec 20;28(29):3597-610. doi: 10.1002/sim.3707.","Archer KJ","Stat Med","2009","2009/08/22","PMC3744197","NIHMS483729","10.1002/sim.3707"
"25886446","Bridging a translational gap: using machine learning to improve the prediction of PTSD","Karstoft KI, Galatzer-Levy IR, Statnikov A, Li Z, Shalev AY; members of Jerusalem Trauma Outreach and Prevention Study (J-TOPS) group.","BMC Psychiatry. 2015 Mar 16;15:30. doi: 10.1186/s12888-015-0399-8.","Karstoft KI","BMC Psychiatry","2015","2015/04/18","PMC4360940","","10.1186/s12888-015-0399-8"
"20047774","AIBench: a rapid application development framework for translational research in biomedicine","Glez-Peña D, Reboiro-Jato M, Maia P, Rocha M, Díaz F, Fdez-Riverola F.","Comput Methods Programs Biomed. 2010 May;98(2):191-203. doi: 10.1016/j.cmpb.2009.12.003. Epub 2010 Jan 4.","Glez-Peña D","Comput Methods Programs Biomed","2010","2010/01/06","","","10.1016/j.cmpb.2009.12.003"
"33542922","The Preference, Effect, and Prognosis of Intra-Aortic Balloon Counterpulsation in Acute Myocardial Infarction Complicated by Cardiogenic Shock Patients: A Retrospective Cohort Study","Wang W, Yang F, Lin X, Zhong Q, Li Z, Chen X, Wang J, He K.","Biomed Res Int. 2021 Jan 20;2021:6656926. doi: 10.1155/2021/6656926. eCollection 2021.","Wang W","Biomed Res Int","2021","2021/02/05","PMC7840249","","10.1155/2021/6656926"
"23523875","A la Recherche du Temps Perdu: extracting temporal relations from medical text in the 2012 i2b2 NLP challenge","Cherry C, Zhu X, Martin J, de Bruijn B.","J Am Med Inform Assoc. 2013 Sep-Oct;20(5):843-8. doi: 10.1136/amiajnl-2013-001624. Epub 2013 Mar 23.","Cherry C","J Am Med Inform Assoc","2013","2013/03/26","PMC3756270","","10.1136/amiajnl-2013-001624"
"33603047","Assisting scalable diagnosis automatically via CT images in the combat against COVID-19","Liu B, Liu P, Dai L, Yang Y, Xie P, Tan Y, Du J, Shan W, Zhao C, Zhong Q, Lin X, Guan X, Xing N, Sun Y, Wang W, Zhang Z, Fu X, Fan Y, Li M, Zhang N, Li L, Liu Y, Xu L, Du J, Zhao Z, Hu X, Fan W, Wang R, Wu C, Nie Y, Cheng L, Ma L, Li Z, Jia Q, Liu M, Guo H, Huang G, Shen H, Zhang L, Zhang P, Guo G, Li H, An W, Zhou J, He K.","Sci Rep. 2021 Feb 18;11(1):4145. doi: 10.1038/s41598-021-83424-5.","Liu B","Sci Rep","2021","2021/02/19","PMC7892869","","10.1038/s41598-021-83424-5"
"23920947","Finding temporal gene expression patterns for translational research","Tusch G, Tolea O, Kutsumi Y, Sam VK, Mamidi L.","Stud Health Technol Inform. 2013;192:1173.","Tusch G","Stud Health Technol Inform","2013","2013/08/08","","",""
"22874385","Translational meta-analysis tool for temporal gene expression profiles","Tusch G, Tole O.","Stud Health Technol Inform. 2012;180:1156-8.","Tusch G","Stud Health Technol Inform","2012","2012/08/10","","",""
